"_STATUS","Position","Ticker Symbol-3","_PREV_Ticker Symbol-3","Earnings Time-3","_PREV_Earnings Time-3","_PREV_Position"
"CHANGED",1,"CF","CSCO","amc","--",
"CHANGED",2,"BHC","MCD","amc","bmo",
"CHANGED",3,"OXY","KHC","amc","bmo",
"CHANGED",4,"IIPR","TTD","--",,
"CHANGED",5,"BKNG","SHOP","amc","bmo",
"CHANGED",6,"VALE","ALB","--","amc",
"CHANGED",7,"AWK","PAYC","amc",,
"CHANGED",8,"MANU","HUM","--","bmo",
"CHANGED",9,"WIX","AEE","--","amc",
"CHANGED",10,"SEDG","ARR","bmo","--",
"CHANGED",11,"GRMN","WMB","bmo","--",
"CHANGED",12,"HRL","TMUS","amc","bmo",
"CHANGED",13,"NTR","MFC","amc",,
"CHANGED",14,"EXAS","ROL","--","amc",
"CHANGED",15,"RIO","CIM","--","bmo",
"CHANGED",16,"CLH","MGM","bmo","amc",
"CHANGED",17,"TAP","CHEF","amc","bmo",
"CHANGED",18,"ADI","GNRC","bmo",,
"CHANGED",19,"HLF","NBR","amc",,
"CHANGED",20,"HSBC","NTES","--","bmo",
"CHANGED",21,"DAN","HUBS","bmo","amc",
"CHANGED",22,"BTG","CGNX","amc",,
"CHANGED",23,"IONS","NBIX","--","amc",
"CHANGED",24,"AU","R","--","bmo",
"CHANGED",25,"CVNA","BXMT","amc","bmo",
"CHANGED",26,"EIX","RBBN","amc","--",
"CHANGED",27,"KGC","MSI","amc",,
"CHANGED",28,"WING","AR","bmo","amc",
"CHANGED",29,"AWR","EEFT","--",,
"CHANGED",30,"BMRN","QDEL","--","amc",
"CHANGED",31,"MFA","PAG","bmo",,
"CHANGED",32,"CAMT","LEG","bmo","amc",
"CHANGED",33,"JLL","STAG","bmo","amc",
"CHANGED",34,"GGB","GAIN","--",,
"CHANGED",35,"RDN","NNN","amc","bmo",
"CHANGED",36,"MMLP","SFL","amc","--",
"CHANGED",37,"CAR","CAMT","amc","--",
"CHANGED",38,"NGD","BWA","--","bmo",
"CHANGED",39,"TX","SN","bmo",,
"CHANGED",40,"CDE","CXW","amc",,
"CHANGED",41,"OGE","EQIX","bmo","amc",
"CHANGED",42,"RGLD","MMLP","amc","--",
"CHANGED",43,"JACK","SFTBY","amc","--",
"CHANGED",44,"COKE","THC","amc","bmo",
"CHANGED",45,"VRSK","VECO","bmo","--",
"CHANGED",46,"NPO","SCCO","bmo","--",
"CHANGED",47,"PAAS","LAD","amc","bmo",
"CHANGED",48,"LOPE","MLM","amc","bmo",
"CHANGED",49,"LNVGY","TSEM","--","bmo",
"CHANGED",50,"MCO","PPC","bmo","amc",
"CHANGED",51,"CVI","AM","amc",,
"CHANGED",52,"TNK","RDWR","amc","bmo",
"CHANGED",53,"GPN","VPG","bmo",,
"CHANGED",54,"CYH","CW","amc",,
"CHANGED",55,"AGI","WCN","amc",,
"CHANGED",56,"ICL","CNDT","bmo","--",
"CHANGED",57,"UAN","TSE","amc","--",
"CHANGED",58,"FOLD","GPMT","--","amc",
"CHANGED",59,"CRH","NI","amc","bmo",
"CHANGED",60,"DASH","GLPG","amc","--",
"CHANGED",61,"BAESY","SLF","--","amc",
"CHANGED",62,"GLNCY","TEX","--","bmo",
"CHANGED",63,"UOVEY","IFF","--","amc",
"CHANGED",64,"HSNGY","CPA","--","amc",
"CHANGED",65,"PHG","HLT","--","bmo",
"CHANGED",66,"TS","CRK","amc",,
"CHANGED",67,"MTUAY","AMX","--",,
"CHANGED",68,"TPL","ALKS","amc","--",
"CHANGED",69,"LUNMF","SCI","--","amc",
"CHANGED",70,"RS","PX","amc",,
"CHANGED",71,"PODD","APP","bmo","amc",
"CHANGED",72,"IVPAF","TTE","--","bmo",
"CHANGED",73,"WES","SMNEY","amc","--",
"CHANGED",74,"INVH","ESLOY","amc","--",
"CHANGED",75,"NDSN","RCRUY","amc","--",
"CHANGED",76,"CRRFY","VRT","--","bmo",
"CHANGED",77,"HST","HEINY","amc","--",
"CHANGED",78,"GIL","DBOEY","--","amc",
"CHANGED",79,"ICLR","WAB","--","bmo",
"CHANGED",80,"EQX","DASTY","amc","bmo",
"CHANGED",81,"DINO","ADRNY","bmo","--",
"CHANGED",82,"FIG","MGDDY","amc","--",
"CHANGED",83,"CRL","GFS","bmo",,
"CHANGED",84,"JXN","RPRX","amc","bmo",
"CHANGED",85,"KRYS","BCH","--",,
"CHANGED",86,"OR","GNMSF","--",,
"CHANGED",87,"CWAN","SW","amc","bmo",
"CHANGED",88,"TFPM","GMAB","--",,
"CHANGED",89,"BLCO","SOMLY","bmo","--",
"CHANGED",90,"WH","U","amc","bmo",
"CHANGED",91,"OBDC","TYL","amc",,
"CHANGED",92,"OTF","GFL","amc",,
"CHANGED",93,"GLBE","ASND","bmo","--",
"CHANGED",94,"VOPKY","SUZ","--",,
"CHANGED",95,"OGS","MHGVY","amc","--",
"CHANGED",96,"TNL","YARIY","bmo",,
"CHANGED",97,"LBTYB","TRYIY","bmo","--",
"CHANGED",98,"LBTYA","SKM","bmo","--",
"CHANGED",99,"LBTYK","KLPEF","bmo","--",
"CHANGED",100,"LCII","CFLT","bmo","amc",
"CHANGED",101,"BKD","SOLS","amc","bmo",
"CHANGED",102,"BNL","WTS","amc",,
"CHANGED",103,"COCO","SMNNY","bmo","--",
"CHANGED",104,"CSTM","NCLTY","bmo","--",
"CHANGED",105,"CAKE","AUR","amc",,
"CHANGED",106,"OPLN","PRI","bmo","amc",
"CHANGED",107,"CNK","VLPNY","bmo","--",
"CHANGED",108,"OII","PSN","amc","bmo",
"CHANGED",109,"TGB","YMHAY","--",,
"CHANGED",110,"RELY","AVTR","amc","bmo",
"CHANGED",111,"SPNT","DAR","amc",,
"CHANGED",112,"KALU","MSA","amc",,
"CHANGED",113,"OSW","FAF","--","amc",
"CHANGED",114,"SAH","SITE","bmo",,
"CHANGED",115,"MCW","NEU","amc",,
"CHANGED",116,"FDP","TMHC","bmo",,
"CHANGED",117,"LILAK","RANJY","--","bmo",
"CHANGED",118,"WINA","EPRT","--","amc",
"CHANGED",119,"BORR","QS","--","amc",
"CHANGED",120,"LILA","SSMXY","--",,
"CHANGED",121,"ROCK","IFS","--","amc",
"CHANGED",122,"PRG","WFG","bmo","amc",
"CHANGED",123,"ENVX","PALAF","--",,
"CHANGED",124,"PUMP","NWE","bmo","amc",
"CHANGED",125,"TROX","IRT","amc",,
"CHANGED",126,"AMPL","QTWO","amc",,
"CHANGED",127,"TK","KAI","amc","--",
"CHANGED",128,"MATV","CLBT","amc","bmo",
"CHANGED",129,"ADAM","RYN","amc",,
"CHANGED",130,"NXDR","NP","amc","--",
"CHANGED",131,"RGR","CWYUF","--","amc",
"CHANGED",132,"ASPI","THKLY","--",,
"CHANGED",133,"GOOD","KURRY","amc","--",
"CHANGED",134,"FVRR","PLMR","bmo","--",
"CHANGED",135,"CCAP","NCTKF","amc","--",
"CHANGED",136,"FPI","ARX","--",,
"CHANGED",137,"PRAA","VERX","--","bmo",
"CHANGED",138,"SABR","CXT","bmo","amc",
"CHANGED",139,"CMTG","MH","amc",,
"CHANGED",140,"ILPT","TR","amc","--",
"CHANGED",141,"PERI","HTFL","bmo","--",
"CHANGED",142,"UCFI","FCPT","--","amc",
"CHANGED",143,"CLW","MLYS","amc","--",
"CHANGED",144,"TBI","UE","amc","bmo",
"CHANGED",145,"FONR","INSP","--","amc",
"CHANGED",146,"MHH","GTY","--","amc",
"CHANGED",147,"MNOV","BIREF","--",,
"CHANGED",148,"TSPH","FLNG","--","bmo",
"CHANGED",149,"LUNG","FSLY","--","amc",
"CHANGED",150,"XTIA","HCSG","--",,
"CHANGED",151,"EQFN","DAO","--","bmo",
"CHANGED",152,"NEXCF","ZBIO","amc","--",
"CHANGED",153,"LNAI","GLIBA","--","bmo",
"CHANGED",154,"FLYE","GLIBK","--","bmo",
"CHANGED",155,"VIVS","PDS","--","amc",
"CHANGED",156,"PFSA","PDM","--","amc",
"CHANGED",157,"PHIL","CRTO","--","bmo",
"CHANGED",158,"SGLY","SAFE","--","amc",
"CHANGED",159,"CERO","BBOT","--",,
"CHANGED",160,"BINI","PRCH","--","amc",
"CHANGED",161,"PNSTQ","FBRT","--","amc",
"CHANGED",162,"CNRFF","RWT","--","amc",
"CHANGED",163,"CSFFF","TBN","--","amc",
"CHANGED",164,"ECO","REPL","bmo","--",
"CHANGED",165,"SWONF","KRNT","--","bmo",
"CHANGED",166,"SEVN","CRSR","amc","--",
"CHANGED",167,"SAUHY","AVXL","--",,
"CHANGED",168,"IZCFF","DDI","--","amc",
"REMOVED",,,"FMAO",,"--",169
"REMOVED",,,"OTLY",,"bmo",170
"REMOVED",,,"AMCX",,"amc",171
"REMOVED",,,"CUB",,"--",172
"REMOVED",,,"VCIC",,"--",173
"REMOVED",,,"ALMU",,"amc",174
"REMOVED",,,"RZLT",,"--",175
"REMOVED",,,"ASPN",,"--",176
"REMOVED",,,"SPMC",,"bmo",177
"REMOVED",,,"SBXD",,"--",178
"REMOVED",,,"OPRT",,"--",179
"REMOVED",,,"RDCM",,"bmo",180
"REMOVED",,,"TRAK",,"--",181
