VZ,bmo
VTR,amc
NUE,amc
MED,--
BBBY,amc
RIG,--
ARLP,bmo
DPZ,bmo
CDNS,amc
HTHIY,--
HLIT,--
LEG,--
CR,amc
CINF,amc
NOV,amc
GGB,amc
PSA,amc
ARE,amc
BRX,amc
AMKR,amc
LC,amc
UHS,amc
AVB,amc
MIELY,--
DBOEY,amc
CLS,amc
KMTUY,--
TTDKY,--
OLCLY,--
BRO,amc
YZCAY,--
GLPEY,--
DSEEY,--
RMBS,amc
CCK,amc
TFII,amc
MKTAY,--
SANM,--
SSD,amc
SEB,--
SEI,amc
CNO,--
SOHVY,--
CDP,amc
KRC,amc
MCHB,--
BLX,amc
NWBI,amc
EZPW,--
TKYMY,--
HLMN,amc
CTOS,amc
GABC,--
OPRA,--
LKFN,bmo
FSUN,amc
DEA,bmo
HBT,bmo
BFST,bmo
CPAC,--
FSBC,amc
AMBZ,--
UHT,--
KFRC,amc
CBNK,--
BSRR,--
BMRC,bmo
FRBA,amc
NRC,--
FMAO,--
CBK,amc
NWFL,bmo
LNKB,--
AVBH,amc
CBNA,--
CZWI,--
CHYI,--
OROXF,--
PROV,--
PTBS,--
BURCA,--
BYFC,--
STBI,--
NTRB,--
CCCGY,--
V,amc
BP,bmo
GM,bmo
SBUX,amc
EPD,bmo
KO,bmo
ARCB,bmo
OHI,amc
UPS,bmo
CNC,bmo
NOG,amc
WM,amc
ARCC,bmo
STX,amc
SPOT,bmo
AMT,bmo
KMB,bmo
AB,bmo
BCS,bmo
OKE,amc
BKNG,amc
GLW,bmo
FE,amc
TWO,amc
TMUS,amc
WELL,amc
NEO,amc
NXPI,amc
UCTT,amc
PCAR,bmo
IVZ,bmo
WPC,amc
LXFR,amc
SHW,bmo
NBR,amc
INCY,bmo
CZR,amc
JBLU,bmo
SYY,bmo
ABG,bmo
MDLZ,amc
RBBN,amc
IR,amc
TER,amc
ENPH,amc
ECL,bmo
ARI,amc
RUSHA,amc
PPG,amc
EIX,amc
STAG,amc
OMCL,bmo
AXGN,bmo
XYL,bmo
LRN,amc
CMS,bmo
BEN,bmo
UNM,amc
FFIV,amc
WERN,amc
CDNA,amc
ASH,amc
HRI,bmo
BE,amc
PII,bmo
SPGI,bmo
PMT,--
SIMO,amc
BXP,amc
AVY,bmo
EQR,amc
ZBH,bmo
EXR,amc
PNR,bmo
OMC,amc
HLT,bmo
QUAD,amc
CHDRY,--
SHECY,bmo
HOOD,amc
ACGL,amc
WRTBY,bmo
FQVLF,amc
EXE,amc
VLTO,amc
NVR,--
WSO,bmo
CSGP,amc
ESS,amc
WSO.B,bmo
TRU,bmo
RNR,amc
MLI,--
ALLE,bmo
WBS,amc
SFD,bmo
AETUF,amc
AIT,bmo
ASR,--
GLXY,bmo
UMBF,amc
ESI,amc
AWI,bmo
CBC,bmo
GNGBY,--
LSTR,amc
ST,amc
RITM,bmo
RUSHB,amc
RSI,amc
WFG,--
EXLS,amc
MIR,amc
PFSI,--
FELE,bmo
ITRI,bmo
CVLT,bmo
GEF.B,amc
RNST,amc
GEF,amc
SBCF,amc
APAM,amc
CURB,bmo
VRNS,amc
AKR,amc
TRMK,amc
HIW,amc
IVT,amc
HTO,amc
SLDE,amc
NTB,amc
CECO,bmo
BUSE,amc
MBIN,amc
ROG,amc
ATEN,amc
FCF,bmo
OI,amc
DCOM,--
PEB,amc
HOPE,bmo
AAT,amc
SCL,bmo
NBBK,--
FMBL,--
PRCH,amc
LGIH,bmo
VLRS,bmo
CAC,bmo
FCBC,--
THFF,--
BRSP,amc
SPFI,amc
NXRT,bmo
PGC,--
CTO,amc
TRTX,amc
WCCB,--
ORN,amc
SFST,--
GCBC,--
NAUT,bmo
WSBF,--
TSBK,--
FSBW,--
WNEB,--
FVCB,--
CLW,amc
LCNB,--
QNBC,--
PERF,bmo
BCBP,--
FRSPF,--
BLHK,--
MX,amc
FCOB,--
AUBN,--
WEEEF,--
ASRV,--
NIDB,--
SEVN,amc
UNBX,--
STREF,--
AMZN,amc
MSFT,amc
F,amc
GOOGL,amc
ABBV,bmo
QCOM,amc
ETSY,bmo
ALGN,amc
GOOG,amc
AMRN,bmo
BHC,amc
TEVA,bmo
GSK,bmo
PSX,bmo
PPL,--
TDOC,amc
BIIB,bmo
MEOH,amc
GD,bmo
EBAY,--
HUM,bmo
ORLY,amc
OPK,--
BIP,bmo
REGN,bmo
AWK,amc
ADP,bmo
SMG,bmo
KLAC,amc
CTSH,bmo
CMG,amc
GRMN,bmo
AZN,bmo
MGM,amc
BBT,amc
CHEF,bmo
GNRC,bmo
UIS,--
AFL,amc
YUM,bmo
DQ,bmo
SWK,bmo
ETR,bmo
SXC,--
AFLYY,--
ALL,amc
BXMT,bmo
FMC,amc
DK,bmo
SFM,amc
MTG,amc
AR,amc
DAN,bmo
PAG,bmo
SBRA,amc
VMC,bmo
CP,amc
IONS,bmo
ODFL,bmo
ANIK,bmo
CNI,bmo
CVNA,amc
EXTR,bmo
KGC,amc
WING,bmo
MKL,--
MAT,amc
VICI,amc
APH,bmo
AEIS,--
RDN,--
GH,--
EQIX,amc
PI,amc
NCLH,--
BG,bmo
OGE,bmo
LAD,bmo
MLM,--
PPC,amc
COKE,--
ARAY,--
CACC,--
SAN,--
FNMA,--
VRSK,bmo
UBS,bmo
YUMC,bmo
AM,amc
WSR,--
ADDYY,bmo
HBB,--
ACHC,amc
ASX,bmo
CVI,amc
EME,bmo
FLS,amc
VIRT,bmo
CHRW,amc
MC,amc
TLK,--
NFG,amc
MTRN,bmo
AGI,amc
TTMI,amc
VIAV,amc
TTEK,amc
AGIO,bmo
ATNI,--
NAVI,bmo
TV,--
FSS,bmo
TTI,amc
SCI,--
UAN,amc
BBVA,amc
EAT,bmo
META,amc
TTE,bmo
EADSY,--
IBDRY,bmo
TOELY,--
DHLGY,--
SCGLY,--
DSDVY,bmo
OSAGF,--
CRARY,--
MBGYY,--
MRAAY,--
VWAGY,--
EBKDY,--
HLN,bmo
OTSKY,--
GEHC,bmo
VLKAF,--
AMRZ,amc
KNYJY,--
HXGBY,--
TW,bmo
SVNLY,--
REPYY,--
UMC,bmo
CJPRY,--
FTAI,amc
UTHR,--
SOFI,bmo
AER,bmo
SBAC,amc
OMVKY,--
NHYDY,bmo
WWD,amc
CRS,bmo
AMCR,--
EG,amc
LII,bmo
GIB,bmo
INVH,amc
IEX,bmo
REG,amc
TYL,amc
MAA,amc
EVR,bmo
GFL,amc
IVPAF,--
TMTNF,bmo
UDR,amc
AFG,amc
AIRYY,--
FORM,amc
MUSA,amc
ICLR,--
BVN,amc
ADRZY,--
ALNPY,--
AAON,--
AXS,amc
KIGRY,--
CWAN,--
GKOS,amc
PB,bmo
VIST,amc
MORN,amc
WH,amc
THG,amc
PLXS,amc
SITE,bmo
RRR,amc
PSN,bmo
AVT,bmo
BLCO,bmo
FUPBY,--
AVTR,bmo
KRG,bmo
UFPI,amc
LMND,bmo
AUOTY,--
MYRG,amc
GHC,--
WAY,amc
NWE,amc
SLGN,bmo
SGBAF,--
TFSL,--
CSTM,bmo
CUZ,amc
JOE,amc
USLM,--
BNL,amc
CGAU,amc
MZTI,--
IRT,amc
FIBK,amc
APEMY,--
CBU,bmo
HAYW,bmo
QTWO,amc
BELFB,amc
LXP,bmo
CAKE,amc
NCTKF,--
PFS,amc
MGRC,amc
APELY,--
GRBK,amc
BELFA,amc
COCO,bmo
FCPT,amc
UE,bmo
DKL,bmo
GNNDY,--
OSW,--
MCW,--
BHE,amc
TENB,amc
CMPR,amc
CLBK,--
ALKT,amc
BLKB,bmo
CLVT,bmo
CBZ,amc
CNXN,amc
AIN,--
CTS,bmo
AMSSY,--
ENVX,--
TNC,--
PRCT,amc
DLX,--
DFIN,--
PRG,bmo
PDS,amc
DBVT,--
CNMD,amc
FMBH,--
ROCK,--
LXU,amc
CFFN,bmo
JBSS,--
ESRT,amc
CPF,bmo
HTLD,--
EIG,amc
SMP,--
CLB,amc
NWPX,amc
CSV,--
UDMY,--
RWT,amc
NTGR,--
FBRT,amc
SDHC,bmo
ADAM,amc
RGR,--
TIPT,--
MAX,amc
ALRS,amc
RRBI,--
ETD,amc
PSTL,--
RWWI,--
MDXG,--
LRMR,--
OBT,--
COFS,--
ECX,--
CLMB,amc
ILPT,amc
OTLY,bmo
FVRR,bmo
SNDL,bmo
HVT.A,--
ONIT,--
HVT,--
RM,amc
MVBF,amc
OFLX,--
CVEO,--
ACIU,--
CZFS,--
JMSB,bmo
MRAM,amc
FXNC,--
HWBK,--
SPOK,--
MFIN,--
SMHI,--
SRI,--
NCSM,--
LARK,amc
FNWD,--
SRBK,--
ACR,amc
BNCC,--
MGYR,--
BSBK,--
BOTJ,--
FUSB,--
CPSH,--
UFI,--
PBHC,--
MVLY,--
LUNG,amc
SNBR,--
ABVC,--
AWRE,amc
NHTC,--
NVNO,--
OPITQ,--
AAPL,amc
ROKU,amc
MA,bmo
BMY,bmo
CAT,bmo
MO,bmo
TWLO,amc
MRK,bmo
WDC,amc
ILMN,amc
SO,bmo
AMGN,amc
LLY,bmo
VLO,bmo
CI,bmo
COP,bmo
CROX,bmo
TEAM,amc
IP,bmo
IRM,bmo
WTW,bmo
SIRI,bmo
DXCM,amc
XPO,bmo
HUN,amc
CAH,bmo
MT,bmo
CLX,amc
OLED,amc
ICE,bmo
FSLR,amc
WY,amc
ITW,bmo
KIM,bmo
PH,bmo
TXT,bmo
AOS,bmo
TRN,bmo
AIG,amc
RCL,bmo
SKT,amc
APD,bmo
XRX,bmo
SYK,amc
W,bmo
TAP,bmo
XEL,bmo
BAX,bmo
ITGR,bmo
HCC,amc
HSY,bmo
CNX,bmo
TREE,amc
EMN,amc
TROW,bmo
AEM,amc
AX,amc
NNN,bmo
RMD,amc
MMSI,amc
MHK,amc
JLL,bmo
GDDY,amc
THC,bmo
EGO,amc
ATI,bmo
AXTI,amc
PCRX,amc
ALNY,bmo
EHC,amc
SNDR,amc
NEWT,amc
LKQ,bmo
GTX,bmo
AME,bmo
LH,bmo
CHKP,bmo
LOPE,amc
SAM,amc
NVCR,bmo
